
 The run is 10000 proton of 81 MeV through 20 m   of Y89 (density: 4.472 g/cm3 )

 Process calls frequency:
	protonInelastic= 10000


 MeanFreePath:	32.9327 cm  +- 33.1406 cm 	massic: 147.275 g/cm2 
 CrossSection:	0.030365 cm^-1 		massic: 679.002 um2/mg
 crossSection per atom:	1.00242 barn  

 Verification: crossSections from G4HadronicProcessStore:
     protonInelastic= 680.214 um2/mg	1.00421 barn  
               total= 680.214 um2/mg	1.00421 barn  

 List of nuclear reactions: 

                      proton + Y89 --> 2 proton + Sr88[15.190]:       1   Q = -7.08639 MeV
                     proton + Y89 --> 2 proton + Sr88[303.436]:       1   Q = -7.37464 MeV
                      proton + Y89 --> 2 proton + Sr88[34.749]:       1   Q = -7.10595 MeV
                     proton + Y89 --> 2 proton + Sr88[381.520]:       1   Q = -7.45272 MeV
                     proton + Y89 --> 2 proton + Sr88[390.352]:       1   Q = -7.46155 MeV
                     proton + Y89 --> 2 proton + Sr88[471.623]:       1   Q = -7.54282 MeV
                     proton + Y89 --> 2 proton + Sr88[674.982]:       1   Q = -7.74618 MeV
                     proton + Y89 --> 2 proton + Sr88[678.018]:       1   Q = -7.74922 MeV
                     proton + Y89 --> 2 proton + Sr88[891.700]:       1   Q = -7.9629 MeV
           proton + Y89 --> 2 proton + neutron + Sr87[176.383]:       1   Q = -18.3602 MeV
         proton + Y89 --> 3 proton + 3 neutron + Rb84[379.909]:       1   Q = -47.1111 MeV
         proton + Y89 --> 3 proton + 3 neutron + Rb84[444.305]:       1   Q = -47.1755 MeV
                     proton + Y89 --> 3 proton + Rb87[118.759]:       1   Q = -17.7971 MeV
  proton + Y89 --> N gamma or e- + 2 alpha + deuteron + Br80[85.843]:       1   Q = -22.5816 MeV
   proton + Y89 --> N gamma or e- + 2 neutron + 2 alpha + Kr80:      21   Q = -23.5032 MeV
  proton + Y89 --> N gamma or e- + 2 neutron + 2 alpha + deuteron + Br78:       7   Q = -41.0753 MeV
  proton + Y89 --> N gamma or e- + 2 neutron + 2 alpha + triton + Br77:       2   Q = -43.1066 MeV
  proton + Y89 --> N gamma or e- + 2 neutron + 2 deuteron + Sr84:      19   Q = -42.1796 MeV
   proton + Y89 --> N gamma or e- + 2 neutron + 3 alpha + Se76:      10   Q = -28.5597 MeV
       proton + Y89 --> N gamma or e- + 2 neutron + He3 + Sr85:      22   Q = -30.3849 MeV
             proton + Y89 --> N gamma or e- + 2 neutron + Zr88:     322   Q = -12.9403 MeV
  proton + Y89 --> N gamma or e- + 2 neutron + alpha + He3 + Kr81:       6   Q = -36.2077 MeV
     proton + Y89 --> N gamma or e- + 2 neutron + alpha + Sr84:      60   Q = -18.3326 MeV
  proton + Y89 --> N gamma or e- + 2 neutron + alpha + deuteron + Rb82:      35   Q = -35.9249 MeV
  proton + Y89 --> N gamma or e- + 2 neutron + alpha + triton + Rb81:       8   Q =  -38.47 MeV
  proton + Y89 --> N gamma or e- + 2 neutron + alpha + triton + Rb81[86.310]:       6   Q = -38.5563 MeV
  proton + Y89 --> N gamma or e- + 2 neutron + deuteron + Li7 + Kr79:       1   Q = -50.1477 MeV
   proton + Y89 --> N gamma or e- + 2 neutron + deuteron + Y86:       6   Q = -30.4156 MeV
  proton + Y89 --> N gamma or e- + 2 neutron + deuteron + Y86[218.210]:      79   Q = -30.6338 MeV
  proton + Y89 --> N gamma or e- + 2 neutron + deuteron + triton + Sr83:       7   Q = -47.8455 MeV
  proton + Y89 --> N gamma or e- + 2 neutron + triton + He3 + Rb82:       1   Q = -50.2449 MeV
     proton + Y89 --> N gamma or e- + 2 neutron + triton + Y85:      10   Q = -33.6706 MeV
  proton + Y89 --> N gamma or e- + 2 proton + 2 neutron + He3 + Kr83:       1   Q = -46.0655 MeV
  proton + Y89 --> N gamma or e- + 2 proton + 2 neutron + Sr86:     666   Q = -26.612 MeV
  proton + Y89 --> N gamma or e- + 2 proton + 2 neutron + alpha + Kr82:      73   Q = -32.9592 MeV
  proton + Y89 --> N gamma or e- + 2 proton + 2 neutron + deuteron + Rb84:      20   Q = -44.5068 MeV
  proton + Y89 --> N gamma or e- + 2 proton + 2 neutron + deuteron + Rb84[463.590]:      12   Q = -44.9704 MeV
  proton + Y89 --> N gamma or e- + 2 proton + 2 neutron + triton + Rb83:       2   Q = -47.0091 MeV
  proton + Y89 --> N gamma or e- + 2 proton + 3 neutron + Sr85:     808   Q = -38.1033 MeV
  proton + Y89 --> N gamma or e- + 2 proton + 3 neutron + Sr85[238.790]:      12   Q = -38.3421 MeV
